,Time,House,School,Health_center,Church,Water_pump,Class_name
206,20130109:1407,0.226,1.0,1.0,0.5,0.86,1
207,20130109:1507,0.215,1.0,1.0,1.0,0.86,1
208,20130109:1607,0.221,0.85,0.85,1.0,1.0,1
209,20130109:1707,0.356,0.31,0.31,0.5,1.0,1
210,20130109:1807,0.667,0.15,0.15,1.0,0.71,1
211,20130109:1907,0.543,0.15,0.15,1.0,0.57,1
212,20130109:2007,0.366,0.15,0.15,0.1,0.29,1
213,20130109:2107,0.26,0.15,0.15,0.1,0.14,1
214,20130109:2207,0.162,0.15,0.15,0.1,0.14,1
215,20130109:2307,0.11,0.15,0.15,0.1,0.14,1
216,20130110:0007,0.059,0.15,0.15,0.1,0.14,1
217,20130110:0107,0.051,0.15,0.15,0.1,0.14,1
218,20130110:0207,0.051,0.15,0.15,0.1,0.14,1
219,20130110:0307,0.051,0.15,0.15,0.1,0.29,1
220,20130110:0407,0.177,0.15,0.15,0.85,0.43,1
221,20130110:0507,0.271,0.15,0.15,0.85,0.57,1
222,20130110:0607,0.298,0.46,0.46,0.5,0.71,1
223,20130110:0707,0.271,0.92,0.92,0.1,0.86,1
224,20130110:0807,0.227,0.92,0.92,0.1,1.0,1
225,20130110:0907,0.233,1.0,1.0,0.1,1.0,1
226,20130110:1007,0.268,1.0,1.0,0.1,1.0,1
227,20130110:1107,0.288,1.0,1.0,1.0,0.86,1
228,20130110:1207,0.374,1.0,1.0,1.0,0.71,1
229,20130110:1307,0.281,1.0,1.0,1.0,0.71,1
230,20130110:1407,0.226,1.0,1.0,0.5,0.86,1
231,20130110:1507,0.215,1.0,1.0,1.0,0.86,1
232,20130110:1607,0.221,0.85,0.85,1.0,1.0,1
233,20130110:1707,0.356,0.31,0.31,0.5,1.0,1
234,20130110:1807,0.667,0.15,0.15,1.0,0.71,1
235,20130110:1907,0.543,0.15,0.15,1.0,0.57,1
236,20130110:2007,0.366,0.15,0.15,0.1,0.29,1
237,20130110:2107,0.26,0.15,0.15,0.1,0.14,1
238,20130110:2207,0.162,0.15,0.15,0.1,0.14,1
239,20130110:2307,0.11,0.15,0.15,0.1,0.14,1
240,20130111:0007,0.059,0.15,0.15,0.1,0.14,1
241,20130111:0107,0.051,0.15,0.15,0.1,0.14,1
242,20130111:0207,0.051,0.15,0.15,0.1,0.14,1
243,20130111:0307,0.051,0.15,0.15,0.1,0.29,1
244,20130111:0407,0.177,0.15,0.15,0.85,0.43,1
245,20130111:0507,0.271,0.15,0.15,0.85,0.57,1
246,20130111:0607,0.298,0.46,0.46,0.5,0.71,1
247,20130111:0707,0.271,0.92,0.92,0.1,0.86,1
248,20130111:0807,0.227,0.92,0.92,0.1,1.0,1
249,20130111:0907,0.233,1.0,1.0,0.1,1.0,1
250,20130111:1007,0.268,1.0,1.0,0.1,1.0,1
251,20130111:1107,0.288,1.0,1.0,1.0,0.86,1
252,20130111:1207,0.374,1.0,1.0,1.0,0.0,0
253,20130111:1307,0.281,1.0,1.0,1.0,0.71,1
254,20130111:1407,0.226,1.0,1.0,0.5,0.86,1
255,20130111:1507,0.215,1.0,1.0,1.0,0.86,1
256,20130111:1607,0.221,0.85,0.85,1.0,1.0,1
257,20130111:1707,0.356,0.31,0.31,0.5,1.0,1
258,20130111:1807,0.667,0.15,0.15,1.0,0.71,1
259,20130111:1907,0.543,0.15,0.15,1.0,0.57,1
260,20130111:2007,0.366,0.0,0.15,0.1,0.0,0
261,20130111:2107,0.26,0.15,0.15,0.1,0.14,1
262,20130111:2207,0.162,0.15,0.15,0.1,0.14,1
263,20130111:2307,0.11,0.15,0.15,0.1,0.14,1
264,20130112:0007,0.059,0.15,0.15,0.1,0.14,1
265,20130112:0107,0.051,0.15,0.15,0.1,0.14,1
266,20130112:0207,0.051,0.15,0.15,0.1,0.14,1
267,20130112:0307,0.051,0.15,0.15,0.1,0.29,1
268,20130112:0407,0.177,0.15,0.15,0.85,0.43,1
269,20130112:0507,0.271,0.15,0.15,0.85,0.57,1
270,20130112:0607,0.298,0.46,0.46,0.5,0.71,1
271,20130112:0707,0.271,0.92,0.92,0.1,0.86,1
272,20130112:0807,0.227,0.92,0.92,0.1,1.0,1
273,20130112:0907,0.233,1.0,1.0,0.1,1.0,1
274,20130112:1007,0.268,1.0,1.0,0.1,1.0,1
275,20130112:1107,0.288,1.0,1.0,1.0,0.86,1
276,20130112:1207,0.374,1.0,1.0,1.0,0.71,1
277,20130112:1307,0.281,1.0,1.0,1.0,0.71,1
278,20130112:1407,0.226,1.0,1.0,0.5,0.86,1
279,20130112:1507,0.215,1.0,1.0,1.0,0.86,1
280,20130112:1607,0.221,0.85,0.85,1.0,1.0,1
281,20130112:1707,0.356,0.31,0.31,0.5,1.0,1
282,20130112:1807,0.667,0.15,0.15,1.0,0.71,1
283,20130112:1907,0.543,0.15,0.15,1.0,0.57,1
