,Time,value,Class_name
922,20130223:0107,0,0
923,20130223:0207,0,0
924,20130223:0307,0,0
925,20130223:0407,0,0
926,20130223:0507,0,0
927,20130223:0607,0,1
928,20130223:0707,0,1
929,20130223:0807,0,1
930,20130223:0907,0,1
931,20130223:1007,0,1
932,20130223:1107,0,1
933,20130223:1207,0,1
934,20130223:1307,0,1
935,20130223:1407,0,1
936,20130223:1507,0,1
937,20130223:1607,0,1
938,20130223:1707,0,1
939,20130223:1807,0,2
940,20130223:1907,0,2
941,20130223:2007,0,0
942,20130223:2107,0,0
943,20130223:2207,0,0
944,20130223:2307,0,0
945,20130224:0007,0,0
946,20130224:0107,0,0
947,20130224:0207,0,0
948,20130224:0307,0,0
949,20130224:0407,0,0
950,20130224:0507,0,0
951,20130224:0607,0,1
952,20130224:0707,0,1
953,20130224:0807,0,1
954,20130224:0907,0,1
955,20130224:1007,0,1
956,20130224:1107,0,1
957,20130224:1207,0,1
958,20130224:1307,0,1
959,20130224:1407,0,1
960,20130224:1507,0,1
961,20130224:1607,0,1
962,20130224:1707,0,1
963,20130224:1807,0,2
964,20130224:1907,0,2
965,20130224:2007,0,0
966,20130224:2107,0,0
967,20130224:2207,0,0
968,20130224:2307,0,0
969,20130225:0007,0,0
970,20130225:0107,0,0
971,20130225:0207,0,0
972,20130225:0307,0,0
973,20130225:0407,0,0
974,20130225:0507,0,0
975,20130225:0607,0,1
976,20130225:0707,0,1
977,20130225:0807,0,1
978,20130225:0907,0,1
979,20130225:1007,0,1
980,20130225:1107,0,1
981,20130225:1207,0,1
982,20130225:1307,0,1
983,20130225:1407,0,1
984,20130225:1507,0,1
985,20130225:1607,0,1
986,20130225:1707,0,1
987,20130225:1807,0,2
988,20130225:1907,0,2
989,20130225:2007,0,0
990,20130225:2107,0,0
991,20130225:2207,0,0
992,20130225:2307,0,0
993,20130226:0007,0,0
994,20130226:0107,0,0
995,20130226:0207,0,0
996,20130226:0307,0,0
997,20130226:0407,0,0
998,20130226:0507,0,0
999,20130226:0607,0,1
1000,20130226:0707,0,1
1001,20130226:0807,0,1
1002,20130226:0907,0,1
1003,20130226:1007,0,1
1004,20130226:1107,0,1
1005,20130226:1207,0,1
1006,20130226:1307,0,1
1007,20130226:1407,0,1
1008,20130226:1507,0,1
1009,20130226:1607,0,1
1010,20130226:1707,0,1
1011,20130226:1807,0,2
1012,20130226:1907,0,2
1013,20130226:2007,0,0
1014,20130226:2107,0,0
1015,20130226:2207,0,0
1016,20130226:2307,0,0
1017,20130227:0007,0,0
1018,20130227:0107,0,0
1019,20130227:0207,0,0
1020,20130227:0307,0,0
1021,20130227:0407,0,0
1022,20130227:0507,0,0
1023,20130227:0607,0,1
1024,20130227:0707,0,1
1025,20130227:0807,0,1
1026,20130227:0907,0,1
1027,20130227:1007,0,1
1028,20130227:1107,0,1
1029,20130227:1207,0,1
1030,20130227:1307,0,1
1031,20130227:1407,0,1
1032,20130227:1507,0,1
1033,20130227:1607,0,1
1034,20130227:1707,0,1
1035,20130227:1807,0,2
1036,20130227:1907,0,2
1037,20130227:2007,0,0
1038,20130227:2107,0,0
1039,20130227:2207,0,0
1040,20130227:2307,0,0
1041,20130228:0007,0,0
1042,20130228:0107,0,0
1043,20130228:0207,0,0
1044,20130228:0307,0,0
1045,20130228:0407,0,0
1046,20130228:0507,0,0
1047,20130228:0607,0,1
1048,20130228:0707,0,1
1049,20130228:0807,0,3
1050,20130228:0907,0,1
1051,20130228:1007,0,1
1052,20130228:1107,0,1
1053,20130228:1207,0,1
1054,20130228:1307,0,1
1055,20130228:1407,0,1
1056,20130228:1507,0,1
1057,20130228:1607,0,1
1058,20130228:1707,0,1
1059,20130228:1807,0,2
1060,20130228:1907,0,2
1061,20130228:2007,0,0
1062,20130228:2107,0,0
1063,20130228:2207,0,0
1064,20130228:2307,0,0
1065,20130301:0007,0,0
1066,20130301:0107,0,0
1067,20130301:0207,0,0
